namespace,g0,g1,g2
AAC::Main,AAC,AAC,Audio
AFCP::Main,AFCP,AFCP,Other
AIFF::Comment,AIFF,AIFF,Audio
AIFF::Common,AIFF,AIFF,Audio
AIFF::FormatVers,AIFF,AIFF,Other
AIFF::Main,AIFF,AIFF,Audio
APE::Main,APE,APE,Audio
APE::NewHeader,APE,MAC,Audio
APE::OldHeader,APE,MAC,Audio
APP12::Ducky,Ducky,Ducky,Image
APP12::PictureInfo,APP12,PictureInfo,Image
ASF::CodecList,ASF,ASF,Other
ASF::ContentBranding,ASF,ASF,Author
ASF::ContentDescr,ASF,ASF,Video
ASF::ExtendedDescr,ASF,ASF,Video
ASF::FileProperties,ASF,ASF,Video
ASF::Header,ASF,ASF,Other
ASF::HeaderExtension,ASF,ASF,Other
ASF::Main,ASF,ASF,Other
ASF::Picture,ASF,ASF,Image
ASF::StreamProperties,ASF,ASF,Video
Apple::Main,MakerNotes,Apple,Image
Apple::RunTime,MakerNotes,Apple,Image
Audible::Main,Audible,Audible,Audio
Audible::cvrx,QuickTime,Audible,Audio
Audible::meta,QuickTime,Audible,Audio
Audible::tseg,QuickTime,Audible,Audio
BMP::Extra,File,File,Image
BMP::Main,File,File,Image
BMP::OS2,File,File,Image
BPG::Extensions,File,File,Image
BPG::Main,File,File,Image
CBOR::Main,JUMBF,CBOR,Other
Canon::AFConfig,MakerNotes,Canon,Camera
Canon::AFInfo,MakerNotes,Canon,Camera
Canon::AFInfo2,MakerNotes,Canon,Camera
Canon::AFMicroAdj,MakerNotes,Canon,Camera
Canon::Ambience,MakerNotes,Canon,Camera
Canon::AspectInfo,MakerNotes,Canon,Camera
Canon::CMP1,MakerNotes,Canon,Image
Canon::CNTH,MakerNotes,Canon,Video
Canon::CTMD,MakerNotes,Canon,Image
Canon::CameraInfo1000D,MakerNotes,Canon,Camera
Canon::CameraInfo1D,MakerNotes,Canon,Camera
Canon::CameraInfo1DX,MakerNotes,Canon,Camera
Canon::CameraInfo1DmkII,MakerNotes,Canon,Camera
Canon::CameraInfo1DmkIII,MakerNotes,Canon,Camera
Canon::CameraInfo1DmkIIN,MakerNotes,Canon,Camera
Canon::CameraInfo1DmkIV,MakerNotes,Canon,Camera
Canon::CameraInfo40D,MakerNotes,Canon,Camera
Canon::CameraInfo450D,MakerNotes,Canon,Camera
Canon::CameraInfo500D,MakerNotes,Canon,Camera
Canon::CameraInfo50D,MakerNotes,Canon,Camera
Canon::CameraInfo550D,MakerNotes,Canon,Camera
Canon::CameraInfo5D,MakerNotes,Canon,Camera
Canon::CameraInfo5DmkII,MakerNotes,Canon,Camera
Canon::CameraInfo5DmkIII,MakerNotes,Canon,Camera
Canon::CameraInfo600D,MakerNotes,Canon,Camera
Canon::CameraInfo60D,MakerNotes,Canon,Camera
Canon::CameraInfo650D,MakerNotes,Canon,Camera
Canon::CameraInfo6D,MakerNotes,Canon,Camera
Canon::CameraInfo70D,MakerNotes,Canon,Camera
Canon::CameraInfo750D,MakerNotes,Canon,Camera
Canon::CameraInfo7D,MakerNotes,Canon,Camera
Canon::CameraInfo80D,MakerNotes,Canon,Camera
Canon::CameraInfoG5XII,MakerNotes,Canon,Camera
Canon::CameraInfoPowerShot,MakerNotes,Canon,Camera
Canon::CameraInfoPowerShot2,MakerNotes,Canon,Camera
Canon::CameraInfoR6,MakerNotes,Canon,Camera
Canon::CameraInfoR6m2,MakerNotes,Canon,Camera
Canon::CameraInfoUnknown,MakerNotes,Canon,Camera
Canon::CameraInfoUnknown32,MakerNotes,Canon,Camera
Canon::CameraSettings,MakerNotes,Canon,Camera
Canon::ColorBalance,MakerNotes,Canon,Camera
Canon::ColorCalib,MakerNotes,Canon,Camera
Canon::ColorCalib2,MakerNotes,Canon,Camera
Canon::ColorCoefs,MakerNotes,Canon,Camera
Canon::ColorCoefs2,MakerNotes,Canon,Camera
Canon::ColorData1,MakerNotes,Canon,Camera
Canon::ColorData10,MakerNotes,Canon,Camera
Canon::ColorData11,MakerNotes,Canon,Camera
Canon::ColorData12,MakerNotes,Canon,Camera
Canon::ColorData2,MakerNotes,Canon,Camera
Canon::ColorData3,MakerNotes,Canon,Camera
Canon::ColorData4,MakerNotes,Canon,Camera
Canon::ColorData5,MakerNotes,Canon,Camera
Canon::ColorData6,MakerNotes,Canon,Camera
Canon::ColorData7,MakerNotes,Canon,Camera
Canon::ColorData8,MakerNotes,Canon,Camera
Canon::ColorData9,MakerNotes,Canon,Camera
Canon::ColorDataUnknown,MakerNotes,Canon,Camera
Canon::ColorInfo,MakerNotes,Canon,Camera
Canon::ContrastInfo,MakerNotes,Canon,Camera
Canon::CropInfo,MakerNotes,Canon,Camera
Canon::ExposureInfo,MakerNotes,Canon,Image
Canon::FaceDetect1,MakerNotes,Canon,Image
Canon::FaceDetect2,MakerNotes,Canon,Image
Canon::FaceDetect3,MakerNotes,Canon,Image
Canon::FileInfo,MakerNotes,Canon,Image
Canon::FilterInfo,MakerNotes,Canon,Camera
Canon::Flags,MakerNotes,Canon,Camera
Canon::FocalInfo,MakerNotes,Canon,Image
Canon::FocalLength,MakerNotes,Canon,Image
Canon::HDRInfo,MakerNotes,Canon,Image
Canon::LensInfo,MakerNotes,Canon,Camera
Canon::LevelInfo,MakerNotes,Canon,Camera
Canon::LightingOpt,MakerNotes,Canon,Camera
Canon::LogInfo,Canon,Canon,Other
Canon::Main,MakerNotes,Canon,Camera
