group_namespace,tag_name,field_name
XMP::crs,Look,Look
XMP::crs,LookAmount,Amount
XMP::crs,LookCluster,Cluster
XMP::crs,LookCopyright,Copyright
XMP::crs,LookGroup,Group
XMP::crs,LookName,Name
XMP::crs,LookParameters,Parameters
XMP::crs,LookParametersCameraProfile,CameraProfile
XMP::crs,LookParametersClarity2012,Clarity2012
XMP::crs,LookParametersConvertToGrayscale,ConvertToGrayscale
XMP::crs,LookParametersHighlights2012,Highlights2012
XMP::crs,LookParametersLookTable,LookTable
XMP::crs,LookParametersProcessVersion,ProcessVersion
XMP::crs,LookParametersShadows2012,Shadows2012
XMP::crs,LookParametersToneCurvePV2012,ToneCurvePV2012
XMP::crs,LookParametersToneCurvePV2012Blue,ToneCurvePV2012Blue
XMP::crs,LookParametersToneCurvePV2012Green,ToneCurvePV2012Green
XMP::crs,LookParametersToneCurvePV2012Red,ToneCurvePV2012Red
XMP::crs,LookParametersVersion,Version
XMP::crs,LookSupportsAmount,SupportsAmount
XMP::crs,LookSupportsMonochrome,SupportsMonochrome
XMP::crs,LookSupportsOutputReferred,SupportsOutputReferred
XMP::crs,LookUUID,UUID
