group_namespace,exif_id,name,type,description,writable,is_list,parent_tag_name,parent_tag_namespace
AAC::Main,Bit016-017,ProfileType,?,Profile Type,False,False,,
AAC::Main,Bit018-021,SampleRate,?,Sample Rate,False,False,,
AAC::Main,Bit023-025,Channels,?,Channels,False,False,,
AAC::Main,Encoder,Encoder,?,Encoder,False,False,,
AFCP::Main,Nail,ThumbnailImage,?,Thumbnail Image,False,False,,
AFCP::Main,PrVw,PreviewImage,?,Preview Image,False,False,,
AFCP::Main,TEXT,Text,?,Text,False,False,,
AIFF::Comment,0,CommentTime,?,Comment Time,False,False,,
AIFF::Comment,1,MarkerID,?,Marker ID,False,False,,
AIFF::Comment,2,Comment,?,Comment,False,False,,
AIFF::Common,0,NumChannels,int16u,Num Channels,False,False,,
AIFF::Common,1,NumSampleFrames,int32u,Num Sample Frames,False,False,,
AIFF::Common,3,SampleSize,int16u,Sample Size,False,False,,
AIFF::Common,4,SampleRate,extended,Sample Rate,False,False,,
AIFF::Common,9,CompressionType,string,Compression Type,False,False,,
AIFF::Common,11,CompressorName,pstring,Compressor Name,False,False,,
AIFF::FormatVers,0,FormatVersionTime,int32u,Format Version Time,False,False,,
AIFF::Main,(c) ,Copyright,?,Copyright,False,False,,
AIFF::Main,ANNO,Annotation,?,Annotation,False,False,,
AIFF::Main,APPL,ApplicationData,?,Application Data,False,False,,
AIFF::Main,AUTH,Author,?,Author,False,False,,
AIFF::Main,NAME,Name,?,Name,False,False,,
APE::Main,Album,Album,?,Album,False,False,,
APE::Main,Artist,Artist,?,Artist,False,False,,
APE::Main,DURATION,Duration,?,Duration,False,False,,
APE::Main,Genre,Genre,?,Genre,False,False,,
APE::Main,Title,Title,?,Title,False,False,,
APE::Main,Tool Name,ToolName,?,Tool Name,False,False,,
APE::Main,Tool Version,ToolVersion,?,Tool Version,False,False,,
APE::Main,Track,Track,?,Track,False,False,,
APE::Main,Year,Year,?,Year,False,False,,
APE::NewHeader,0,CompressionLevel,int16u,Compression Level,False,False,,
APE::NewHeader,2,BlocksPerFrame,int32u,Blocks Per Frame,False,False,,
APE::NewHeader,4,FinalFrameBlocks,int32u,Final Frame Blocks,False,False,,
APE::NewHeader,6,TotalFrames,int32u,Total Frames,False,False,,
APE::NewHeader,8,BitsPerSample,int16u,Bits Per Sample,False,False,,
APE::NewHeader,9,Channels,int16u,Channels,False,False,,
