tag_namespace,tag_name,value
AAC::Main,ProfileType,Main
AAC::Main,ProfileType,Low Complexity
AAC::Main,ProfileType,Scalable Sampling Rate
AAC::Main,Channels,?
AAC::Main,Channels,1
AAC::Main,Channels,2
AAC::Main,Channels,3
AAC::Main,Channels,4
AAC::Main,Channels,5
AAC::Main,Channels,5+1
AAC::Main,Channels,7+1
AIFF::Common,CompressionType,ACE 2-to-1
AIFF::Common,CompressionType,ACE 8-to-3
AIFF::Common,CompressionType,A-law
AIFF::Common,CompressionType,G722
AIFF::Common,CompressionType,G726
AIFF::Common,CompressionType,G728
AIFF::Common,CompressionType,GSM
AIFF::Common,CompressionType,MAC 3-to-1
AIFF::Common,CompressionType,MAC 6-to-1
AIFF::Common,CompressionType,None
AIFF::Common,CompressionType,Mu-law
AIFF::Common,CompressionType,a-law
AIFF::Common,CompressionType,"Little-endian, no compression"
AIFF::Common,CompressionType,mu-law
APP12::PictureInfo,Flash,Off
APP12::PictureInfo,Flash,On
APP12::PictureInfo,Macro,Off
APP12::PictureInfo,Macro,On
ASF::ContentBranding,BannerImageType,None
ASF::ContentBranding,BannerImageType,Bitmap
ASF::ContentBranding,BannerImageType,JPEG
ASF::ContentBranding,BannerImageType,GIF
ASF::Picture,PictureType,Other
ASF::Picture,PictureType,32x32 PNG Icon
ASF::Picture,PictureType,Other Icon
ASF::Picture,PictureType,Front Cover
ASF::Picture,PictureType,Back Cover
ASF::Picture,PictureType,Leaflet
ASF::Picture,PictureType,Media
ASF::Picture,PictureType,Lead Artist
ASF::Picture,PictureType,Artist
ASF::Picture,PictureType,Conductor
ASF::Picture,PictureType,Band
ASF::Picture,PictureType,Composer
ASF::Picture,PictureType,Lyricist
ASF::Picture,PictureType,Recording Studio or Location
ASF::Picture,PictureType,Recording Session
ASF::Picture,PictureType,Performance
ASF::Picture,PictureType,Capture from Movie or Video
ASF::Picture,PictureType,Bright(ly) Colored Fish
ASF::Picture,PictureType,Illustration
ASF::Picture,PictureType,Band Logo
ASF::Picture,PictureType,Publisher Logo
ASF::StreamProperties,StreamType,Degradable JPEG
ASF::StreamProperties,StreamType,Binary
ASF::StreamProperties,StreamType,Command
ASF::StreamProperties,StreamType,File Transfer
ASF::StreamProperties,StreamType,JFIF
ASF::StreamProperties,StreamType,Video
ASF::StreamProperties,StreamType,Audio
ASF::StreamProperties,ErrorCorrectionType,No Error Correction
ASF::StreamProperties,ErrorCorrectionType,Audio Spread
ASF::StreamProperties,AudioCodecID,Microsoft PCM
ASF::StreamProperties,AudioCodecID,Microsoft ADPCM
ASF::StreamProperties,AudioCodecID,Microsoft IEEE float
ASF::StreamProperties,AudioCodecID,Compaq VSELP
ASF::StreamProperties,AudioCodecID,IBM CVSD
ASF::StreamProperties,AudioCodecID,Microsoft a-Law
ASF::StreamProperties,AudioCodecID,Microsoft u-Law
ASF::StreamProperties,AudioCodecID,Microsoft DTS
ASF::StreamProperties,AudioCodecID,DRM
ASF::StreamProperties,AudioCodecID,WMA 9 Speech
ASF::StreamProperties,AudioCodecID,Microsoft Windows Media RT Voice
ASF::StreamProperties,AudioCodecID,OKI-ADPCM
ASF::StreamProperties,AudioCodecID,Intel IMA/DVI-ADPCM
ASF::StreamProperties,AudioCodecID,Videologic Mediaspace ADPCM
ASF::StreamProperties,AudioCodecID,Sierra ADPCM
ASF::StreamProperties,AudioCodecID,Antex G.723 ADPCM
ASF::StreamProperties,AudioCodecID,DSP Solutions DIGISTD
ASF::StreamProperties,AudioCodecID,DSP Solutions DIGIFIX
ASF::StreamProperties,AudioCodecID,Dialoic OKI ADPCM
ASF::StreamProperties,AudioCodecID,Media Vision ADPCM
ASF::StreamProperties,AudioCodecID,HP CU
ASF::StreamProperties,AudioCodecID,HP Dynamic Voice
ASF::StreamProperties,AudioCodecID,Yamaha ADPCM
ASF::StreamProperties,AudioCodecID,SONARC Speech Compression
ASF::StreamProperties,AudioCodecID,DSP Group True Speech
ASF::StreamProperties,AudioCodecID,Echo Speech Corp.
ASF::StreamProperties,AudioCodecID,Virtual Music Audiofile AF36
ASF::StreamProperties,AudioCodecID,Audio Processing Tech.
ASF::StreamProperties,AudioCodecID,Virtual Music Audiofile AF10
ASF::StreamProperties,AudioCodecID,Aculab Prosody 1612
ASF::StreamProperties,AudioCodecID,Merging Tech. LRC
ASF::StreamProperties,AudioCodecID,Dolby AC2
ASF::StreamProperties,AudioCodecID,Microsoft GSM610
ASF::StreamProperties,AudioCodecID,MSN Audio
ASF::StreamProperties,AudioCodecID,Antex ADPCME
ASF::StreamProperties,AudioCodecID,Control Resources VQLPC
ASF::StreamProperties,AudioCodecID,DSP Solutions DIGIREAL
ASF::StreamProperties,AudioCodecID,DSP Solutions DIGIADPCM
ASF::StreamProperties,AudioCodecID,Control Resources CR10
ASF::StreamProperties,AudioCodecID,Natural MicroSystems VBX ADPCM
ASF::StreamProperties,AudioCodecID,Crystal Semiconductor IMA ADPCM
ASF::StreamProperties,AudioCodecID,Echo Speech ECHOSC3
ASF::StreamProperties,AudioCodecID,Rockwell ADPCM
ASF::StreamProperties,AudioCodecID,Rockwell DIGITALK
ASF::StreamProperties,AudioCodecID,Xebec Multimedia
ASF::StreamProperties,AudioCodecID,Antex G.721 ADPCM
ASF::StreamProperties,AudioCodecID,Antex G.728 CELP
ASF::StreamProperties,AudioCodecID,Microsoft MSG723
ASF::StreamProperties,AudioCodecID,IBM AVC ADPCM
ASF::StreamProperties,AudioCodecID,ITU-T G.726
ASF::StreamProperties,AudioCodecID,Microsoft MPEG
ASF::StreamProperties,AudioCodecID,RT23 or PAC
ASF::StreamProperties,AudioCodecID,InSoft RT24
ASF::StreamProperties,AudioCodecID,InSoft PAC
ASF::StreamProperties,AudioCodecID,MP3
ASF::StreamProperties,AudioCodecID,Cirrus
ASF::StreamProperties,AudioCodecID,Cirrus Logic
ASF::StreamProperties,AudioCodecID,ESS Tech. PCM
ASF::StreamProperties,AudioCodecID,Voxware Inc.
ASF::StreamProperties,AudioCodecID,Canopus ATRAC
ASF::StreamProperties,AudioCodecID,APICOM G.726 ADPCM
ASF::StreamProperties,AudioCodecID,APICOM G.722 ADPCM
ASF::StreamProperties,AudioCodecID,Microsoft DSAT
ASF::StreamProperties,AudioCodecID,Microsoft DSAT DISPLAY
ASF::StreamProperties,AudioCodecID,Voxware Byte Aligned
ASF::StreamProperties,AudioCodecID,Voxware AC8
ASF::StreamProperties,AudioCodecID,Voxware AC10
ASF::StreamProperties,AudioCodecID,Voxware AC16
ASF::StreamProperties,AudioCodecID,Voxware AC20
ASF::StreamProperties,AudioCodecID,Voxware MetaVoice
ASF::StreamProperties,AudioCodecID,Voxware MetaSound
ASF::StreamProperties,AudioCodecID,Voxware RT29HW
ASF::StreamProperties,AudioCodecID,Voxware VR12
ASF::StreamProperties,AudioCodecID,Voxware VR18
ASF::StreamProperties,AudioCodecID,Voxware TQ40
ASF::StreamProperties,AudioCodecID,Voxware SC3
ASF::StreamProperties,AudioCodecID,Voxware SC3
ASF::StreamProperties,AudioCodecID,Soundsoft
ASF::StreamProperties,AudioCodecID,Voxware TQ60
ASF::StreamProperties,AudioCodecID,Microsoft MSRT24
ASF::StreamProperties,AudioCodecID,AT&T G.729A
ASF::StreamProperties,AudioCodecID,Motion Pixels MVI MV12
ASF::StreamProperties,AudioCodecID,DataFusion G.726
ASF::StreamProperties,AudioCodecID,DataFusion GSM610
ASF::StreamProperties,AudioCodecID,Iterated Systems Audio
ASF::StreamProperties,AudioCodecID,Onlive
ASF::StreamProperties,AudioCodecID,"Multitude, Inc. FT SX20"
ASF::StreamProperties,AudioCodecID,Infocom ITS A/S G.721 ADPCM
ASF::StreamProperties,AudioCodecID,Convedia G729
ASF::StreamProperties,AudioCodecID,"Not specified congruency, Inc."
ASF::StreamProperties,AudioCodecID,Siemens SBC24
ASF::StreamProperties,AudioCodecID,Sonic Foundry Dolby AC3 APDIF
ASF::StreamProperties,AudioCodecID,MediaSonic G.723
ASF::StreamProperties,AudioCodecID,Aculab Prosody 8kbps
ASF::StreamProperties,AudioCodecID,ZyXEL ADPCM
ASF::StreamProperties,AudioCodecID,Philips LPCBB
ASF::StreamProperties,AudioCodecID,Studer Professional Audio Packed
ASF::StreamProperties,AudioCodecID,Malden PhonyTalk
ASF::StreamProperties,AudioCodecID,Racal Recorder GSM
ASF::StreamProperties,AudioCodecID,Racal Recorder G720.a
ASF::StreamProperties,AudioCodecID,Racal G723.1
ASF::StreamProperties,AudioCodecID,Racal Tetra ACELP
